Price,Close,Return,Volatility,Cluster,Trend
Ticker,^GSPC,,,,
Date,,,,,
2019-01-09,2584.9599609375,0.004098045450532162,0.021018762038652723,2,Neutral
2019-01-10,2596.639892578125,0.004518418782931244,0.012722845168000641,1,Uptrend
2019-01-11,2596.260009765625,-0.00014629784190933748,0.0036609830131879477,1,Uptrend
2019-01-14,2582.610107421875,-0.005257525167898014,0.005602425779220415,1,Uptrend
2019-01-15,2610.300048828125,0.010721688622945758,0.005937056426269388,1,Uptrend
2019-01-16,2616.10009765625,0.0022219854881162515,0.005892591411348768,1,Uptrend
2019-01-17,2635.9599609375,0.0075914003822110665,0.006312551105897872,1,Uptrend
2019-01-18,2670.7099609375,0.01318305304897005,0.00736468715019114,1,Uptrend
2019-01-22,2632.89990234375,-0.014157306164566674,0.010899750514750343,0,Downtrend
2019-01-23,2638.699951171875,0.0022029127742235755,0.010213425669184255,1,Uptrend
2019-01-24,2642.330078125,0.0013757255543636049,0.010220154132929855,1,Uptrend
2019-01-25,2664.760009765625,0.008488694060713842,0.010349085663995432,1,Uptrend
2019-01-28,2643.85009765625,-0.007846827493937836,0.008959037169421896,0,Downtrend
2019-01-29,2640.0,-0.0014562465775435074,0.005936507882435259,1,Uptrend
2019-01-30,2681.050048828125,0.01554926091974429,0.00904866137197259,1,Uptrend
2019-01-31,2704.10009765625,0.008597395948725328,0.009254282606544628,1,Uptrend
2019-02-01,2706.530029296875,0.0008986100931438479,0.009091648100937839,1,Uptrend
2019-02-04,2724.8701171875,0.006776236617404008,0.006710635263994891,1,Uptrend
2019-02-05,2737.699951171875,0.00470842037697472,0.005424522297958341,1,Uptrend
2019-02-06,2731.610107421875,-0.0022244379802809355,0.004398813788912758,1,Uptrend
2019-02-07,2706.050048828125,-0.009357140143940179,0.006349601566309789,0,Downtrend
2019-02-08,2707.8798828125,0.0006762010869560964,0.006343913145667047,1,Uptrend
2019-02-11,2709.800048828125,0.0007091030986317026,0.005234744172818089,1,Uptrend
2019-02-12,2744.72998046875,0.0128902247439735,0.008033845450308509,1,Uptrend
2019-02-13,2753.030029296875,0.003023994668760688,0.007924681279196322,1,Uptrend
2019-02-14,2745.72998046875,-0.002651641555101225,0.005924137618414329,1,Uptrend
2019-02-15,2775.60009765625,0.01087875260858695,0.006664737738551403,1,Uptrend
2019-02-19,2779.760009765625,0.0014987433214488366,0.006546839957922154,1,Uptrend
2019-02-20,2784.699951171875,0.0017771107537685182,0.004942692762947934,1,Uptrend
2019-02-21,2774.8798828125,-0.003526436790880272,0.005711689132944389,1,Uptrend
2019-02-22,2792.669921875,0.006411102394986878,0.005459446923277835,1,Uptrend
2019-02-25,2796.110107421875,0.0012318625699112573,0.0035188906938556073,1,Uptrend
2019-02-26,2793.89990234375,-0.0007904570968998437,0.003661622858911391,1,Uptrend
2019-02-27,2792.3798828125,-0.0005440493877303387,0.003688778895939453,1,Uptrend
2019-02-28,2784.489990234375,-0.0028255083152146643,0.0035034925552005305,1,Uptrend
2019-03-01,2803.68994140625,0.00689532059343434,0.0037020114772307253,1,Uptrend
2019-03-04,2792.81005859375,-0.003880558492514008,0.004220372286566072,1,Uptrend
2019-03-05,2789.64990234375,-0.001131532823106185,0.004234447997318997,1,Uptrend
2019-03-06,2771.449951171875,-0.006524098653592381,0.0050814010899079476,1,Uptrend
